company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
Persistent Systems,3.6,3.5k,156,575,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Schneider Electric,4.2,3.5k,334,334,"Company Culture, Work Life Balance, Job Security",
Ecom Express,3.9,3.5k,20,184,,Promotions / Appraisal
Oyo Rooms,3.3,3.4k,32,221,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Marpu Foundation,4.9,3.4k,--,39,"Company Culture, Work Satisfaction, Skill Development / Learning",
Bajaj Auto,3.9,3.4k,--,261,Company Culture,Promotions / Appraisal
KEC International,4.1,3.4k,11,280,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
Nagarjuna Construction Company,4.2,3.4k,10,284,"Job Security, Salary & Benefits, Skill Development / Learning",
Piramal Capital Housing Finance,4.2,3.4k,7,174,"Company Culture, Skill Development / Learning, Work Life Balance",
Reliance Communications,4.0,3.4k,--,84,"Skill Development / Learning, Work Life Balance",Promotions / Appraisal
ITC Infotech,3.9,3.4k,117,317,"Work Life Balance, Job Security",Promotions / Appraisal
CARS24,3.6,3.3k,--,304,,"Job Security, Promotions / Appraisal"
Aditya Birla Fashion and Retail,4.2,3.3k,36,167,"Job Security, Skill Development / Learning, Company Culture",
Varun Beverages,4.1,3.3k,62,211,"Job Security, Salary & Benefits",
Randstad,3.8,3.2k,39,247,,"Promotions / Appraisal, Job Security"
L&T Finance,4.0,3.2k,--,132,"Salary & Benefits, Skill Development / Learning",
EY Global Delivery Services ( EY GDS),3.6,3.2k,6,666,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
Tata Communications,4.1,3.2k,417,239,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
John Deere,4.1,3.2k,--,211,"Company Culture, Work Life Balance, Skill Development / Learning",
Intas Pharmaceuticals,4.1,3.2k,30,193,"Job Security, Salary & Benefits, Work Life Balance",
Royal Enfield,4.2,3.1k,--,142,"Skill Development / Learning, Company Culture, Work Satisfaction",
Deutsche Bank,4.0,3.1k,467,339,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
LG Electronics,4.0,3.1k,3,180,"Job Security, Skill Development / Learning, Salary & Benefits",
Thermax Limited,4.2,3.1k,62,220,"Job Security, Company Culture, Skill Development / Learning",
Team Lease,3.9,3.1k,1,188,,Promotions / Appraisal
Samvardhana Motherson Group,3.8,3.1k,2,206,Job Security,"Promotions / Appraisal, Work Life Balance"
R1 RCM,3.9,3.1k,215,256,"Job Security, Company Culture, Work Life Balance",
Macleods Pharmaceuticals,3.7,3k,--,187,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits"
PolicyBazaar,3.6,3k,--,279,Salary & Benefits,"Work Life Balance, Company Culture, Work Satisfaction"
Havells,4.0,3k,18,188,"Work Life Balance, Salary & Benefits, Company Culture",
Future Group,4.3,3k,--,74,"Skill Development / Learning, Company Culture, Work Life Balance",
Access Healthcare,3.9,3k,62,194,"Job Security, Company Culture",Promotions / Appraisal
Kogta Financial India Limited,4.8,3k,33,71,"Company Culture, Work Life Balance, Work Satisfaction",
Hetero Drugs,3.9,3k,29,190,Job Security,"Promotions / Appraisal, Salary & Benefits"
Godrej & Boyce Manufacturing,3.9,3k,--,169,Job Security,Promotions / Appraisal
PVR Inox,4.0,3k,42,148,"Skill Development / Learning, Company Culture, Work Satisfaction",Promotions / Appraisal
Aakash Educational Services,3.5,3k,110,282,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Publicis Sapient,3.5,3k,41,574,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Tata AIA Life Insurance,4.0,3k,831,160,"Job Security, Salary & Benefits, Skill Development / Learning",
Cummins,4.3,3k,115,226,"Company Culture, Work Life Balance, Skill Development / Learning",
Viatris,4.2,2.9k,--,129,"Salary & Benefits, Job Security, Work Life Balance",
Atos,3.8,2.9k,3,283,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
VE Commercial Vehicles,4.0,2.9k,--,198,"Job Security, Skill Development / Learning",Promotions / Appraisal
Square Yards,4.1,2.9k,39,189,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
Abbott,4.2,2.9k,234,137,"Salary & Benefits, Skill Development / Learning, Company Culture",Promotions / Appraisal
American Express,4.2,2.9k,239,343,"Company Culture, Work Life Balance, Job Security",
Subros,3.9,2.9k,--,154,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
Utkarsh Small Finance Bank,3.9,2.9k,14,200,,
